player_name,ppg,rpg,apg,total_games
Rusty LaRue,1.0,0.8,0.5,4
Ognjen Kuzmic,1.0,1.0,0.2,37
Cherokee Parks,1.0,0.8,0.1,12
Aaron Miles,0.8,0.7,1.3,19
John Coker,0.3,0.8,0.3,6
Popeye Jones,0.0,0.2,0.0,5
Chris Boucher,0.0,1.0,0.0,1
Randy Livingston,0.0,0.5,0.5,2
Guy Rucker,0.0,0.3,0.3,3
Keith Benson,0.0,1.0,0.0,3
A.J. Guyton,0.0,0.0,1.0,2
